Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-07-30,666.0,675.0,659.5599975585938,668.0,869,0,0
2020-07-31,667.0,671.969970703125,657.47998046875,675.0,4281,0,0
2020-08-03,699.0900268554688,705.0,690.0,705.0,1075,0,0
2020-08-04,705.3300170898438,747.4000244140625,705.3300170898438,737.0,8290,0,0
2020-08-05,715.0,745.0,715.0,740.0,3383,0,0
2020-08-06,741.27001953125,779.0,741.27001953125,769.0,22342,0,0
2020-08-07,760.0,760.0,733.0,739.0,8088,0,0
2020-08-10,732.0,732.0,710.0,722.0,7184,0,0
2020-08-11,711.0,715.0,688.5,711.7999877929688,2873,0,0
2020-08-12,714.5,714.5,686.0,691.0,2230,0,0
2020-08-13,691.4000244140625,699.0,684.0,671.0,2262,0,0
2020-08-14,680.0,680.0,659.0,663.0,2810,0,0
2020-08-17,651.0,654.0,649.0,656.0,1679,0,0
2020-08-18,657.0,665.0,655.0,668.0,563,0,0
2020-08-19,664.1799926757812,664.1799926757812,656.3599853515625,660.0,21412,0,0
2020-08-20,650.0,693.0,635.0,691.5,3765,0,0
2020-08-21,690.0,690.0,680.0,670.0,1259,0,0
2020-08-24,670.0,688.0,669.0,670.2000122070312,320,0,0
2020-08-25,673.0,683.9199829101562,673.0,685.0,1178,0,0
2020-08-26,705.25,716.0,701.0,708.0,5791,0,0
2020-08-27,710.0,730.0,710.0,726.0,5495,0,0
2020-08-28,727.0,742.7999877929688,727.0,729.0,5064,0,0
2020-08-31,729.0,742.0,722.0,733.0,891,0,0
2020-09-01,736.0,750.0,736.0,743.0,1680,0,0
2020-09-02,730.0,745.0,730.0,741.0,2177,0,0
2020-09-03,732.0,732.0,710.0,734.0,2579,0,0
2020-09-04,710.0,715.5,680.0,700.0,933,0,0
2020-09-07,700.0,700.0,700.0,700.0,0,0,0
2020-09-08,700.0,755.0,700.0,748.0,13875,0,0
2020-09-09,753.0,760.6400146484375,742.9400024414062,755.280029296875,4124,0,0
2020-09-10,756.0,776.0,756.0,776.0,4381,0,0
2020-09-11,770.0,790.010009765625,770.0,781.7999877929688,5620,0,0
2020-09-14,795.0,799.0,795.0,799.0,1168,0,0
2020-09-15,800.0,802.0,788.7000122070312,791.9099731445312,1577,0,0
2020-09-17,760.0,760.0,760.0,767.0999755859375,189,0,0
2020-09-18,770.0,783.0,770.0,773.4600219726562,366,0,0
2020-09-21,770.0,780.0,740.0,775.0,1233,0,0
2020-09-22,770.0,770.5,743.0,746.0,9972,0,0
2020-09-23,762.0,764.0,754.0,759.2999877929688,3677,0,0
